# Title : Technical directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all technical files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20200329162202
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,institution,date_update
aoml/1900694/1900694_tech.nc,AO,20181017201516
aoml/1900695/1900695_tech.nc,AO,20160421205210
aoml/1900696/1900696_tech.nc,AO,20160421205211
aoml/1900697/1900697_tech.nc,AO,20181017200707
aoml/1900698/1900698_tech.nc,AO,20181017200712
aoml/1900699/1900699_tech.nc,AO,20181017200716
aoml/1900700/1900700_tech.nc,AO,20181017200720
aoml/1900701/1900701_tech.nc,AO,20181017200725
aoml/1900702/1900702_tech.nc,AO,20190226210440
aoml/1900703/1900703_tech.nc,AO,20190226210443
aoml/1900704/1900704_tech.nc,AO,20190226210447
aoml/1900705/1900705_tech.nc,AO,20160421203939
aoml/1900706/1900706_tech.nc,AO,20160421203907
aoml/1900707/1900707_tech.nc,AO,20190226210407
aoml/1900708/1900708_tech.nc,AO,20160421203902
aoml/1900710/1900710_tech.nc,AO,20190226210421
aoml/1900711/1900711_tech.nc,AO,20160421203809
aoml/1900712/1900712_tech.nc,AO,20160421210644
aoml/1900713/1900713_tech.nc,AO,20160421203848
aoml/1900714/1900714_tech.nc,AO,20160421203951
aoml/1900715/1900715_tech.nc,AO,20160421203949
aoml/1900716/1900716_tech.nc,AO,20160421203917
aoml/1900717/1900717_tech.nc,AO,20181017201746
aoml/1900718/1900718_tech.nc,AO,20181017201754
aoml/1900719/1900719_tech.nc,AO,20181017201742
aoml/1900720/1900720_tech.nc,AO,20181017201750
aoml/1900721/1900721_tech.nc,AO,20181017201758
aoml/1900722/1900722_tech.nc,AO,20160527014812
aoml/1900723/1900723_tech.nc,AO,20181017201223
aoml/1900724/1900724_tech.nc,AO,20181019201537
aoml/1900725/1900725_tech.nc,AO,20181019201541
aoml/1900726/1900726_tech.nc,AO,20190402200209
aoml/1900727/1900727_tech.nc,AO,20171214210303
aoml/1900728/1900728_tech.nc,AO,20181226210138
aoml/1900729/1900729_tech.nc,AO,20181019201546
aoml/1900730/1900730_tech.nc,AO,20181019201550
aoml/1900731/1900731_tech.nc,AO,20181019201555
aoml/1900732/1900732_tech.nc,AO,20181017201559
aoml/1900733/1900733_tech.nc,AO,20181017201604
aoml/1900734/1900734_tech.nc,AO,20181017201556
aoml/1900735/1900735_tech.nc,AO,20181018200232
aoml/1900736/1900736_tech.nc,AO,20181018200235
aoml/1900737/1900737_tech.nc,AO,20181018200228
aoml/1900738/1900738_tech.nc,AO,20160421210826
aoml/1900740/1900740_tech.nc,AO,20181018200245
aoml/1900741/1900741_tech.nc,AO,20181018200241
aoml/1900742/1900742_tech.nc,AO,20160421210851
aoml/1900743/1900743_tech.nc,AO,20160421211036
aoml/1900744/1900744_tech.nc,AO,20181018200346
aoml/1900745/1900745_tech.nc,AO,20181018200343
aoml/1900746/1900746_tech.nc,AO,20181018200350
aoml/1900747/1900747_tech.nc,AO,20181018200359
aoml/1900748/1900748_tech.nc,AO,20160527020849
aoml/1900749/1900749_tech.nc,AO,20160421210915
aoml/1900750/1900750_tech.nc,AO,20181018200255
aoml/1900752/1900752_tech.nc,AO,20160421210733
aoml/1900753/1900753_tech.nc,AO,20160421210735
aoml/1900754/1900754_tech.nc,AO,20181018200200
aoml/1900755/1900755_tech.nc,AO,20181018200203
aoml/1900756/1900756_tech.nc,AO,20160421210726
aoml/1900757/1900757_tech.nc,AO,20160421210733
aoml/1900758/1900758_tech.nc,AO,20181018200443
aoml/1900759/1900759_tech.nc,AO,20160421211215
aoml/1900760/1900760_tech.nc,AO,20181016201113
aoml/1900761/1900761_tech.nc,AO,20181018200213
aoml/1900762/1900762_tech.nc,AO,20181018200453
aoml/1900763/1900763_tech.nc,AO,20181019200550
aoml/1900764/1900764_tech.nc,AO,20181019200600
aoml/1900765/1900765_tech.nc,AO,20181019200553
aoml/1900766/1900766_tech.nc,AO,20181019200557
aoml/1900767/1900767_tech.nc,AO,20181019200603
aoml/1900768/1900768_tech.nc,AO,20160421212248
aoml/1900769/1900769_tech.nc,AO,20181019200515
aoml/1900770/1900770_tech.nc,AO,20181019200620
aoml/1900771/1900771_tech.nc,AO,20160421213839
aoml/1900772/1900772_tech.nc,AO,20181019200607
aoml/1900773/1900773_tech.nc,AO,20181019200610
aoml/1900774/1900774_tech.nc,AO,20181019200613
aoml/1900775/1900775_tech.nc,AO,20160421212227
aoml/1900776/1900776_tech.nc,AO,20181019200617
aoml/1900777/1900777_tech.nc,AO,20160421215338
aoml/1900778/1900778_tech.nc,AO,20160421215335
aoml/1900779/1900779_tech.nc,AO,20160421215348
aoml/1900780/1900780_tech.nc,AO,20170419003559
aoml/1900781/1900781_tech.nc,AO,20160421215426
aoml/1900782/1900782_tech.nc,AO,20160421215420
aoml/1900783/1900783_tech.nc,AO,20160421215415
aoml/1900785/1900785_tech.nc,AO,20160421215648
aoml/1900786/1900786_tech.nc,AO,20160421215657
aoml/1900787/1900787_tech.nc,AO,20160421215643
aoml/1900788/1900788_tech.nc,AO,20160421215652
aoml/1900789/1900789_tech.nc,AO,20160421215638
aoml/1900790/1900790_tech.nc,AO,20160421215529
aoml/1900791/1900791_tech.nc,AO,20160421215537
aoml/1900792/1900792_tech.nc,AO,20160421215540
aoml/1900794/1900794_tech.nc,AO,20181020200745
aoml/1900795/1900795_tech.nc,AO,20181020200732
aoml/1900796/1900796_tech.nc,AO,20181018200406
aoml/1900797/1900797_tech.nc,AO,20160421220927
aoml/1900798/1900798_tech.nc,AO,20160421220919
aoml/1900799/1900799_tech.nc,AO,20181020200752
aoml/1900800/1900800_tech.nc,AO,20160329223952
aoml/1900801/1900801_tech.nc,AO,20160421215311
aoml/1900802/1900802_tech.nc,AO,20160421215316
aoml/1900803/1900803_tech.nc,AO,20160421215322
aoml/1900804/1900804_tech.nc,AO,20181020201232
aoml/1900805/1900805_tech.nc,AO,20181020201237
aoml/1900806/1900806_tech.nc,AO,20181020201242
aoml/1900807/1900807_tech.nc,AO,20160421222419
aoml/1900808/1900808_tech.nc,AO,20181020201247
aoml/1900809/1900809_tech.nc,AO,20181020201251
aoml/1900810/1900810_tech.nc,AO,20181020201256
aoml/1900811/1900811_tech.nc,AO,20181020201300
aoml/1900812/1900812_tech.nc,AO,20181020201303
aoml/1900813/1900813_tech.nc,AO,20181020201308
aoml/1900814/1900814_tech.nc,AO,20160421213818
aoml/1900815/1900815_tech.nc,AO,20181019201352
aoml/1900816/1900816_tech.nc,AO,20190209210138
aoml/1900817/1900817_tech.nc,AO,20181019201402
aoml/1900818/1900818_tech.nc,AO,20160421215533
aoml/1900819/1900819_tech.nc,AO,20160421215545
aoml/1900820/1900820_tech.nc,AO,20160421222514
aoml/1900821/1900821_tech.nc,AO,20181020201318
aoml/1900822/1900822_tech.nc,AO,20181020201325
aoml/1900823/1900823_tech.nc,AO,20160421222512
aoml/1900824/1900824_tech.nc,AO,20181020201312
aoml/1900828/1900828_tech.nc,AO,20181020200738
aoml/1900829/1900829_tech.nc,AO,20181020200742
aoml/1900830/1900830_tech.nc,AO,20190828200134
aoml/1900831/1900831_tech.nc,AO,20170610011756
aoml/1900832/1900832_tech.nc,AO,20181024202802
aoml/1900945/1900945_tech.nc,AO,20181024202809
aoml/1900946/1900946_tech.nc,AO,20181024202820
aoml/1900947/1900947_tech.nc,AO,20181024202830
aoml/1900948/1900948_tech.nc,AO,20181024202841
aoml/1900949/1900949_tech.nc,AO,20181024203452
aoml/1900951/1900951_tech.nc,AO,20181005202441
aoml/1900952/1900952_tech.nc,AO,20181005202443
aoml/1900953/1900953_tech.nc,AO,20181005202449
aoml/1900954/1900954_tech.nc,AO,20181005202458
aoml/1900955/1900955_tech.nc,AO,20181005203443
aoml/1900956/1900956_tech.nc,AO,20181005203446
aoml/1900957/1900957_tech.nc,AO,20181005203453
aoml/1900958/1900958_tech.nc,AO,20181005203455
aoml/1900959/1900959_tech.nc,AO,20181209214139
aoml/1900960/1900960_tech.nc,AO,20181209214209
aoml/1900961/1900961_tech.nc,AO,20181206214616
aoml/1900962/1900962_tech.nc,AO,20181020201437
aoml/1900963/1900963_tech.nc,AO,20181020201439
aoml/1900964/1900964_tech.nc,AO,20181020201443
aoml/1900965/1900965_tech.nc,AO,20181020201445
aoml/1900966/1900966_tech.nc,AO,20181020201450
aoml/1900967/1900967_tech.nc,AO,20181020201454
aoml/1900968/1900968_tech.nc,AO,20181020201459
aoml/1900969/1900969_tech.nc,AO,20181020201504
aoml/1900970/1900970_tech.nc,AO,20181020201509
aoml/1900971/1900971_tech.nc,AO,20181020201512
aoml/1900972/1900972_tech.nc,AO,20181020201516
aoml/1900973/1900973_tech.nc,AO,20190218210138
aoml/1900974/1900974_tech.nc,AO,20180305210406
aoml/1900975/1900975_tech.nc,AO,20190424200046
aoml/1900976/1900976_tech.nc,AO,20181020200841
aoml/1900977/1900977_tech.nc,AO,20190830200040
aoml/1900978/1900978_tech.nc,AO,20200319200105
aoml/1900979/1900979_tech.nc,AO,20200319200117
aoml/1900980/1900980_tech.nc,AO,20180408200413
aoml/1900981/1900981_tech.nc,AO,20181020200845
aoml/1900983/1900983_tech.nc,AO,20181020201416
aoml/1900984/1900984_tech.nc,AO,20181020201418
aoml/1900986/1900986_tech.nc,AO,20181022200907
aoml/1900987/1900987_tech.nc,AO,20181022200911
aoml/1900988/1900988_tech.nc,AO,20181022200915
aoml/1900989/1900989_tech.nc,AO,20181022200919
aoml/1900991/1900991_tech.nc,AO,20181022200921
aoml/1900993/1900993_tech.nc,AO,20181022200923
aoml/1900996/1900996_tech.nc,AO,20181020201630
aoml/1900997/1900997_tech.nc,AO,20160421224617
aoml/1900998/1900998_tech.nc,AO,20181022200927
aoml/1900999/1900999_tech.nc,AO,20181022200929
aoml/1901000/1901000_tech.nc,AO,20181022200933
aoml/1901001/1901001_tech.nc,AO,20181022200937
aoml/1901002/1901002_tech.nc,AO,20181022200941
aoml/1901003/1901003_tech.nc,AO,20181022200943
aoml/1901004/1901004_tech.nc,AO,20181022200947
aoml/1901005/1901005_tech.nc,AO,20170607003505
aoml/1901006/1901006_tech.nc,AO,20181022201005
aoml/1901007/1901007_tech.nc,AO,20160329230206
aoml/1901009/1901009_tech.nc,AO,20180207210411
aoml/1901010/1901010_tech.nc,AO,20181022201015
aoml/1901011/1901011_tech.nc,AO,20160329230223
aoml/1901045/1901045_tech.nc,AO,20181019200419
aoml/1901046/1901046_tech.nc,AO,20181019200423
aoml/1901047/1901047_tech.nc,AO,20160527021148
aoml/1901048/1901048_tech.nc,AO,20181019200425
aoml/1901049/1901049_tech.nc,AO,20191213210036
aoml/1901116/1901116_tech.nc,AO,20181020201732
aoml/1901117/1901117_tech.nc,AO,20200120210132
aoml/1901118/1901118_tech.nc,AO,20180420200320
