# Title : Bio-Profile directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all individual bio-profile files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.2
# Date of update : 20230426142402
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,date,latitude,longitude,ocean,profiler_type,institution,parameters,parameter_data_mode,date_update
coriolis/3902131/profiles/BR3902131_091.nc,20190330120820,-7.230,5.542,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083819
coriolis/3902131/profiles/BR3902131_092.nc,20190409121520,-7.256,5.406,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083820
coriolis/3902131/profiles/BR3902131_093.nc,20190419120320,-7.157,5.282,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083821
coriolis/3902131/profiles/BR3902131_094.nc,20190429120320,-6.978,5.093,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083823
coriolis/3902131/profiles/BR3902131_095.nc,20190509120140,-6.782,4.836,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083823
coriolis/3902131/profiles/BR3902131_096.nc,20190519120920,-6.707,4.473,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083825
coriolis/3902131/profiles/BR3902131_097.nc,20190529120320,-6.744,4.082,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083826
coriolis/3902131/profiles/BR3902131_098.nc,20190608120720,-6.876,3.625,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083827
coriolis/3902131/profiles/BR3902131_099.nc,20190618120620,-7.003,3.147,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083828
coriolis/3902131/profiles/BR3902131_100.nc,20190628120440,-7.058,2.664,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083829
coriolis/3902131/profiles/BR3902131_101.nc,20190708115720,-7.056,2.244,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083830
coriolis/3902131/profiles/BR3902131_102.nc,20190718120620,-6.983,1.924,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083831
coriolis/3902131/profiles/BR3902131_103.nc,20190728120120,-6.902,1.610,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083832
coriolis/3902131/profiles/BR3902131_104.nc,20190807115720,-6.854,1.383,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083833
coriolis/3902131/profiles/BR3902131_105.nc,20190817121040,-6.743,1.352,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083834
coriolis/3902131/profiles/BR3902131_106.nc,20190827115720,-6.571,1.409,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083835
coriolis/3902131/profiles/BR3902131_107.nc,20190906114320,-6.317,1.418,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083836
coriolis/3902131/profiles/BR3902131_108.nc,20190916114920,-6.138,1.448,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083837
coriolis/3902131/profiles/BR3902131_109.nc,20190926115820,-6.043,1.524,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083838
coriolis/3902131/profiles/BR3902131_110.nc,20191006120240,-6.328,1.555,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083839
coriolis/3902131/profiles/BR3902131_111.nc,20191016120120,-6.798,1.732,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083840
coriolis/3902131/profiles/BR3902131_112.nc,20191026120120,-6.922,2.017,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083841
coriolis/3902131/profiles/BR3902131_113.nc,20191105115820,-6.716,2.316,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083842
coriolis/3902131/profiles/BR3902131_114.nc,20191115120720,-6.411,2.365,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083843
coriolis/3902131/profiles/BR3902131_115.nc,20191125120040,-6.359,2.386,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083844
coriolis/3902131/profiles/BR3902131_116.nc,20191205120320,-6.398,2.315,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083845
coriolis/3902131/profiles/BR3902131_117.nc,20191215120920,-6.495,2.030,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083846
coriolis/3902131/profiles/BR3902131_118.nc,20191225120320,-6.580,1.580,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083848
